MappingName,OrthologID,GenomeName,GeneID,Annotation,GenomeID,Group,Clade,RefType
AG-676-P03_2717425682,60001883,AG-676-P03,2717425682,protein of unknown function (DUF4214),2716884497,Prochlorococcus,HLI,SAG
AG-676-P03_2717426110,60001883,AG-676-P03,2717426110,protein of unknown function (DUF4214),2716884497,Prochlorococcus,HLI,SAG
AG-676-P03_2717426400,60001883,AG-676-P03,2717426400,protein of unknown function (DUF4214),2716884497,Prochlorococcus,HLI,SAG
AG-676-P23_2717427875,60001888,AG-676-P23,2717427875,hypothetical protein,2716884499,Prochlorococcus,HLI,SAG
AG-686-I20_2717165480,60001830,AG-686-I20,2717165480,hypothetical protein,2716884278,Prochlorococcus,HLI,SAG
AG-686-P21_2717169274,60002365,AG-686-P21,2717169274,hypothetical protein,2716884282,Prochlorococcus,HLI,SAG
AS9601_2626308727,60001883,AS9601,2626308727,protein of unknown function (DUF4214),2623620959,Prochlorococcus,HLII,ISOLATE
GP2_2607980608,60001830,GP2,2607980608,hypothetical protein,2606217606,Prochlorococcus,HLII,ISOLATE
GP2_2607980062,60001888,GP2,2607980062,hypothetical protein,2606217606,Prochlorococcus,HLII,ISOLATE
MIT9201_2608225414,60001888,MIT9201,2608225414,hypothetical protein,2606217687,Prochlorococcus,HLII,ISOLATE
MIT9201_2608226367,60001888,MIT9201,2608226367,hypothetical protein,2606217687,Prochlorococcus,HLII,ISOLATE
MIT9201_2608225413,60001888,MIT9201,2608225413,hypothetical protein,2606217687,Prochlorococcus,HLII,ISOLATE
MIT9201_2608225692,60002365,MIT9201,2608225692,hypothetical protein,2606217687,Prochlorococcus,HLII,ISOLATE
MIT9302_2608233617,60001888,MIT9302,2608233617,hypothetical protein,2606217691,Prochlorococcus,HLII,ISOLATE
SB_2608201347,60001830,SB,2608201347,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608200063,60001830,SB,2608200063,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608199537,60001830,SB,2608199537,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608201434,60001830,SB,2608201434,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608201356,60001830,SB,2608201356,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608200356,60001830,SB,2608200356,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608201432,60001830,SB,2608201432,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608201343,60001830,SB,2608201343,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608201453,60001830,SB,2608201453,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
SB_2608200631,60001888,SB,2608200631,hypothetical protein,2606217677,Prochlorococcus,HLII,ISOLATE
AG-347-C10_2717240741,60001830,AG-347-C10,2717240741,hypothetical protein,2716884356,Prochlorococcus,HLII,SAG
AG-347-C10_2717240146,60001830,AG-347-C10,2717240146,hypothetical protein,2716884356,Prochlorococcus,HLII,SAG
AG-347-C10_2717240224,60001830,AG-347-C10,2717240224,hypothetical protein,2716884356,Prochlorococcus,HLII,SAG
AG-347-C10_2717240827,60001830,AG-347-C10,2717240827,hypothetical protein,2716884356,Prochlorococcus,HLII,SAG
AG-347-C10_2717240826,60001830,AG-347-C10,2717240826,hypothetical protein,2716884356,Prochlorococcus,HLII,SAG
AG-347-G18_2667832547,60001883,AG-347-G18,2667832547,protein of unknown function (DUF4214),2667527329,Prochlorococcus,HLII,SAG
AG-347-I15_2667840225,60001830,AG-347-I15,2667840225,hypothetical protein,2667527333,Prochlorococcus,HLII,SAG
AG-347-I15_2667840151,60001830,AG-347-I15,2667840151,hypothetical protein,2667527333,Prochlorococcus,HLII,SAG
AG-347-I15_2667840183,60001830,AG-347-I15,2667840183,hypothetical protein,2667527333,Prochlorococcus,HLII,SAG
AG-347-I15_2667840101,60001888,AG-347-I15,2667840101,hypothetical protein,2667527333,Prochlorococcus,HLII,SAG
AG-347-I22_2667843983,60001830,AG-347-I22,2667843983,hypothetical protein,2667527336,Prochlorococcus,HLII,SAG
AG-347-I22_2667845095,60001830,AG-347-I22,2667845095,hypothetical protein,2667527336,Prochlorococcus,HLII,SAG
AG-347-I22_2667844660,60001830,AG-347-I22,2667844660,hypothetical protein,2667527336,Prochlorococcus,HLII,SAG
AG-347-I22_2667843982,60001830,AG-347-I22,2667843982,hypothetical protein,2667527336,Prochlorococcus,HLII,SAG
AG-347-I22_2667844590,60001830,AG-347-I22,2667844590,hypothetical protein,2667527336,Prochlorococcus,HLII,SAG
AG-347-J21_2667853352,60002365,AG-347-J21,2667853352,hypothetical protein,2667527341,Prochlorococcus,HLII,SAG
AG-347-J21_2667852318,60002365,AG-347-J21,2667852318,hypothetical protein,2667527341,Prochlorococcus,HLII,SAG
AG-347-K16_2667829247,60001883,AG-347-K16,2667829247,protein of unknown function (DUF4214),2667527326,Prochlorococcus,HLII,SAG
AG-347-K16_2667829610,60001883,AG-347-K16,2667829610,protein of unknown function (DUF4214),2667527326,Prochlorococcus,HLII,SAG
AG-347-K20_2667693514,60001883,AG-347-K20,2667693514,protein of unknown function (DUF4214),2667527242,Prochlorococcus,HLII,SAG
AG-347-K20_2667693236,60001883,AG-347-K20,2667693236,protein of unknown function (DUF4214),2667527242,Prochlorococcus,HLII,SAG
AG-347-L13_2717150929,60001830,AG-347-L13,2717150929,hypothetical protein,2716884264,Prochlorococcus,HLII,SAG
AG-347-L19_2667700591,60001883,AG-347-L19,2667700591,protein of unknown function (DUF4214),2667527247,Prochlorococcus,HLII,SAG
AG-347-M23_2667709279,60001888,AG-347-M23,2667709279,hypothetical protein,2667527252,Prochlorococcus,HLII,SAG
AG-347-N23_2667711857,60001888,AG-347-N23,2667711857,hypothetical protein,2667527254,Prochlorococcus,HLII,SAG
AG-347-O22_2667714021,60001830,AG-347-O22,2667714021,hypothetical protein,2667527255,Prochlorococcus,HLII,SAG
AG-355-B18_2667765764,60002365,AG-355-B18,2667765764,hypothetical protein,2667527285,Prochlorococcus,HLII,SAG
AG-355-B18_2667764709,60002365,AG-355-B18,2667764709,hypothetical protein,2667527285,Prochlorococcus,HLII,SAG
AG-355-B18_2667763861,60002365,AG-355-B18,2667763861,hypothetical protein,2667527285,Prochlorococcus,HLII,SAG
AG-355-B23_2667766008,60001883,AG-355-B23,2667766008,protein of unknown function (DUF4214),2667527286,Prochlorococcus,HLII,SAG
AG-355-I20_2667772447,60002365,AG-355-I20,2667772447,hypothetical protein,2667527289,Prochlorococcus,HLII,SAG
AG-355-I20_2667772551,60002365,AG-355-I20,2667772551,hypothetical protein,2667527289,Prochlorococcus,HLII,SAG
AG-355-I20_2667772472,60002365,AG-355-I20,2667772472,hypothetical protein,2667527289,Prochlorococcus,HLII,SAG
AG-355-I20_2667771808,60002365,AG-355-I20,2667771808,hypothetical protein,2667527289,Prochlorococcus,HLII,SAG
AG-355-J09_2667775706,60001830,AG-355-J09,2667775706,hypothetical protein,2667527291,Prochlorococcus,HLII,SAG
AG-355-J09_2667775683,60001830,AG-355-J09,2667775683,hypothetical protein,2667527291,Prochlorococcus,HLII,SAG
AG-355-J09_2667775688,60002365,AG-355-J09,2667775688,hypothetical protein,2667527291,Prochlorococcus,HLII,SAG
AG-355-J09_2667775720,60002365,AG-355-J09,2667775720,hypothetical protein,2667527291,Prochlorococcus,HLII,SAG
AG-355-J09_2667775705,60002365,AG-355-J09,2667775705,hypothetical protein,2667527291,Prochlorococcus,HLII,SAG
AG-355-J09_2667775708,60002365,AG-355-J09,2667775708,hypothetical protein,2667527291,Prochlorococcus,HLII,SAG
AG-355-J09_2667775149,60002365,AG-355-J09,2667775149,hypothetical protein,2667527291,Prochlorococcus,HLII,SAG
AG-355-J17_2717251985,60001883,AG-355-J17,2717251985,protein of unknown function (DUF4214),2716884363,Prochlorococcus,HLII,SAG
AG-355-J23_2667775756,60001888,AG-355-J23,2667775756,hypothetical protein,2667527292,Prochlorococcus,HLII,SAG
AG-355-J23_2667775757,60001888,AG-355-J23,2667775757,hypothetical protein,2667527292,Prochlorococcus,HLII,SAG
AG-355-L21_2667787836,60001888,AG-355-L21,2667787836,hypothetical protein,2667527299,Prochlorococcus,HLII,SAG
AG-355-L21_2667788030,60002365,AG-355-L21,2667788030,hypothetical protein,2667527299,Prochlorococcus,HLII,SAG
AG-355-N02_2667793378,60001830,AG-355-N02,2667793378,hypothetical protein,2667527303,Prochlorococcus,HLII,SAG
AG-355-N16_2667796035,60001883,AG-355-N16,2667796035,protein of unknown function (DUF4214),2667527304,Prochlorococcus,HLII,SAG
AG-355-N16_2667796734,60002365,AG-355-N16,2667796734,hypothetical protein,2667527304,Prochlorococcus,HLII,SAG
AG-355-N18_2667863735,60001883,AG-355-N18,2667863735,protein of unknown function (DUF4214),2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667861831,60001883,AG-355-N18,2667861831,protein of unknown function (DUF4214),2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667863546,60001883,AG-355-N18,2667863546,protein of unknown function (DUF4214),2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667863799,60001888,AG-355-N18,2667863799,hypothetical protein,2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667863783,60001888,AG-355-N18,2667863783,hypothetical protein,2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667863814,60001888,AG-355-N18,2667863814,hypothetical protein,2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667863784,60001888,AG-355-N18,2667863784,hypothetical protein,2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667863800,60001888,AG-355-N18,2667863800,hypothetical protein,2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667863753,60001888,AG-355-N18,2667863753,hypothetical protein,2667527347,Prochlorococcus,HLII,SAG
AG-355-N18_2667863625,60002365,AG-355-N18,2667863625,hypothetical protein,2667527347,Prochlorococcus,HLII,SAG
AG-355-O17_2667802045,60001830,AG-355-O17,2667802045,hypothetical protein,2667527308,Prochlorococcus,HLII,SAG
AG-355-O17_2667802006,60001830,AG-355-O17,2667802006,hypothetical protein,2667527308,Prochlorococcus,HLII,SAG
AG-355-P07_2667864284,60001888,AG-355-P07,2667864284,hypothetical protein,2667527348,Prochlorococcus,HLII,SAG
AG-355-P07_2667863866,60001888,AG-355-P07,2667863866,hypothetical protein,2667527348,Prochlorococcus,HLII,SAG
AG-355-P18_2667872623,60001883,AG-355-P18,2667872623,protein of unknown function (DUF4214),2667527352,Prochlorococcus,HLII,SAG
AG-355-P18_2667872625,60001883,AG-355-P18,2667872625,protein of unknown function (DUF4214),2667527352,Prochlorococcus,HLII,SAG
AG-388-F11_2717257858,60001888,AG-388-F11,2717257858,hypothetical protein,2716884368,Prochlorococcus,HLII,SAG
AG-402-A04_2717266072,60001830,AG-402-A04,2717266072,hypothetical protein,2716884372,Prochlorococcus,HLII,SAG
AG-402-A04_2717266087,60001883,AG-402-A04,2717266087,protein of unknown function (DUF4214),2716884372,Prochlorococcus,HLII,SAG
AG-402-A04_2717265927,60001883,AG-402-A04,2717265927,protein of unknown function (DUF4214),2716884372,Prochlorococcus,HLII,SAG
AG-402-A04_2717265924,60001883,AG-402-A04,2717265924,protein of unknown function (DUF4214),2716884372,Prochlorococcus,HLII,SAG
AG-402-A04_2717265931,60001883,AG-402-A04,2717265931,protein of unknown function (DUF4214),2716884372,Prochlorococcus,HLII,SAG
AG-402-C22_2717276654,60002365,AG-402-C22,2717276654,hypothetical protein,2716884378,Prochlorococcus,HLII,SAG
AG-402-C22_2717275857,60002365,AG-402-C22,2717275857,hypothetical protein,2716884378,Prochlorococcus,HLII,SAG
AG-402-F05_2717280126,60001830,AG-402-F05,2717280126,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717279804,60001883,AG-402-F05,2717279804,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280327,60001883,AG-402-F05,2717280327,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717279907,60001883,AG-402-F05,2717279907,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280326,60001883,AG-402-F05,2717280326,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717279056,60001883,AG-402-F05,2717279056,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717279806,60001883,AG-402-F05,2717279806,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280325,60001883,AG-402-F05,2717280325,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280127,60001883,AG-402-F05,2717280127,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280342,60001883,AG-402-F05,2717280342,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717279813,60001883,AG-402-F05,2717279813,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280329,60001883,AG-402-F05,2717280329,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717279646,60001883,AG-402-F05,2717279646,protein of unknown function (DUF4214),2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717279078,60001888,AG-402-F05,2717279078,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280324,60001888,AG-402-F05,2717280324,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280173,60001888,AG-402-F05,2717280173,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717279224,60001888,AG-402-F05,2717279224,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280328,60002365,AG-402-F05,2717280328,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280331,60002365,AG-402-F05,2717280331,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280330,60002365,AG-402-F05,2717280330,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-F05_2717280266,60002365,AG-402-F05,2717280266,hypothetical protein,2716884380,Prochlorococcus,HLII,SAG
AG-402-G23_2667719081,60001830,AG-402-G23,2667719081,hypothetical protein,2667527258,Prochlorococcus,HLII,SAG
AG-402-G23_2667719029,60001883,AG-402-G23,2667719029,protein of unknown function (DUF4214),2667527258,Prochlorococcus,HLII,SAG
AG-402-G23_2667718864,60001883,AG-402-G23,2667718864,protein of unknown function (DUF4214),2667527258,Prochlorococcus,HLII,SAG
AG-402-G23_2667718481,60002365,AG-402-G23,2667718481,hypothetical protein,2667527258,Prochlorococcus,HLII,SAG
AG-402-G23_2667718833,60002365,AG-402-G23,2667718833,hypothetical protein,2667527258,Prochlorococcus,HLII,SAG
AG-402-K16_2667855822,60001883,AG-402-K16,2667855822,protein of unknown function (DUF4214),2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667855968,60001883,AG-402-K16,2667855968,protein of unknown function (DUF4214),2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667857144,60001883,AG-402-K16,2667857144,protein of unknown function (DUF4214),2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667855631,60001888,AG-402-K16,2667855631,hypothetical protein,2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667856248,60001888,AG-402-K16,2667856248,hypothetical protein,2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667857284,60001888,AG-402-K16,2667857284,hypothetical protein,2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667856798,60001888,AG-402-K16,2667856798,hypothetical protein,2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667855630,60001888,AG-402-K16,2667855630,hypothetical protein,2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667857252,60001888,AG-402-K16,2667857252,hypothetical protein,2667527343,Prochlorococcus,HLII,SAG
AG-402-K16_2667855975,60002365,AG-402-K16,2667855975,hypothetical protein,2667527343,Prochlorococcus,HLII,SAG
AG-402-K22_2667734417,60001830,AG-402-K22,2667734417,hypothetical protein,2667527267,Prochlorococcus,HLII,SAG
AG-402-K22_2667734091,60001830,AG-402-K22,2667734091,hypothetical protein,2667527267,Prochlorococcus,HLII,SAG
AG-402-K22_2667734484,60001830,AG-402-K22,2667734484,hypothetical protein,2667527267,Prochlorococcus,HLII,SAG
AG-402-K22_2667733828,60001883,AG-402-K22,2667733828,protein of unknown function (DUF4214),2667527267,Prochlorococcus,HLII,SAG
AG-402-K22_2667734412,60001883,AG-402-K22,2667734412,protein of unknown function (DUF4214),2667527267,Prochlorococcus,HLII,SAG
AG-402-K22_2667733959,60001888,AG-402-K22,2667733959,hypothetical protein,2667527267,Prochlorococcus,HLII,SAG
AG-402-K22_2667733958,60001888,AG-402-K22,2667733958,hypothetical protein,2667527267,Prochlorococcus,HLII,SAG
AG-402-K22_2667734045,60002365,AG-402-K22,2667734045,hypothetical protein,2667527267,Prochlorococcus,HLII,SAG
AG-402-L23_2667741372,60001830,AG-402-L23,2667741372,hypothetical protein,2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741420,60001883,AG-402-L23,2667741420,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741741,60001883,AG-402-L23,2667741741,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667740344,60001883,AG-402-L23,2667740344,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741594,60001883,AG-402-L23,2667741594,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741030,60001883,AG-402-L23,2667741030,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741687,60001883,AG-402-L23,2667741687,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741662,60001883,AG-402-L23,2667741662,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741755,60001883,AG-402-L23,2667741755,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741609,60001883,AG-402-L23,2667741609,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741373,60001883,AG-402-L23,2667741373,protein of unknown function (DUF4214),2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741625,60001888,AG-402-L23,2667741625,hypothetical protein,2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741593,60002365,AG-402-L23,2667741593,hypothetical protein,2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667740682,60002365,AG-402-L23,2667740682,hypothetical protein,2667527271,Prochlorococcus,HLII,SAG
AG-402-L23_2667741592,60002365,AG-402-L23,2667741592,hypothetical protein,2667527271,Prochlorococcus,HLII,SAG
AG-412-A14_2717308215,60001888,AG-412-A14,2717308215,hypothetical protein,2716884400,Prochlorococcus,HLII,SAG
AG-412-J13_2717697510,60001830,AG-412-J13,2717697510,hypothetical protein,2716884760,Prochlorococcus,HLII,SAG
